number,name,notice,count,measure,additive,allergen,cal,protein,fat,carbohydrates,salt
"28371","豚肉とキャベツのたまごとじ","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）、pH調整剤　調味料(アミノ酸等)　酵素","卵・小麦","219.5","9.235","16.362","7.129","0.90"
"28372","ナムル","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）、還元澱粉分解物","乳成分・小麦","44.6","1.754","3.032","3.108","0.41"
"28373","野菜のソース炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","44.6","0.666","2.135","6.191","0.91"
"28374","そうめん（椎茸煮物）","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","小麦","3.3","0.184","0.002","0.662","0.27"
"28375","ほうれんそうピーナツ和え","4℃以下で保存して下さい。 ","","(１食当たり)","酸化防止剤（ビタミンE）、還元澱粉分解物","乳成分・小麦・落花生","33.3","1.964","1.987","2.825","0.37"
"28376","豚肉のしぐれ煮","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","小麦","293.9","10.894","23.464","6.994","0.71"
"28377","みそ汁（水菜・大根）","4℃以下で保存して下さい。 ","","(１食当たり)","","","5.3","0.370","0.015","1.170","0.02"
"28378","冷やし中華(かにかま)","4℃以下で保存して下さい。 ","","(１食当たり)","","","10.8","1.230","0.015","1.440","0.27"
"28379","ポトフ風(肉なし)","4℃以下で保存して下さい。 ","","(１食当たり)","還元澱粉分解物","乳成分・小麦","31.9","0.985","0.206","8.041","0.31"
"28380","小松菜の辛子和え","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","小麦","15.9","1.062","0.079","3.167","0.64"
"28381","スクランブルエッグ","4℃以下で保存して下さい。 ","","(１食当たり)","還元澱粉分解物","卵・乳成分・小麦","59.6","1.965","4.647","2.544","0.23"
"28382","鶏のてりやき（3個）","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","181.4","9.660","9.324","14.784","1.55"
"28383","大根のそぼろ煮","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）、還元澱粉分解物","乳成分・小麦","60.0","3.422","3.451","4.599","0.50"
"28384","味噌煮　（さば）","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","小麦","167.3","13.382","10.343","8.412","1.23"
"28385","生姜","4℃以下で保存して下さい。 ","","(１食当たり)","","","1.7","0.021","0.024","0.480","0.00"
